what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.100.v20080404,org.eclipse.update.scheduler,1305970437765
started,bundle,org.eclipse.update.core,3.2.202.R34x_v20081128,org.eclipse.update.core,1305970437828
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1305970437828
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.monitor.ui,1305970437890
started,bundle,org.eclipse.jsch.core,1.1.100.I20080604,org.eclipse.jsch.core,1305970438015
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20090115,org.eclipse.team.cvs.core,1305970438015
started,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1305970438046
started,bundle,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console,1305970438359
started,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1305970438593
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1305970438687
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1305970438687
closed,view,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.internal.introview,1305970438718
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1305970442781
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1305970451796
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1305970456062
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1305970492031
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1305970492031
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1305970499156
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1305970509281
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1305970509281
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1305970509281
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1305970513203
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.cut,1305970518765
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1305970522781
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1305970523656
