what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.birt.chart.device.swt,2.3.2.r232_20090115,org.eclipse.birt.chart.device.swt,1305970524375
stopped,bundle,org.eclipse.birt.report.engine.emitter.prototype.excel,2.3.2.r232_20090202,org.eclipse.birt.report.engine.emitter.prototype.excel,1305970524375
stopped,bundle,org.eclipse.birt.chart.engine.extension,2.3.2.r232_20090115,org.eclipse.birt.chart.engine.extension,1305970524375
stopped,bundle,org.eclipse.birt.chart.reportitem,2.3.2.r232_20090115,org.eclipse.birt.chart.reportitem,1305970524375
stopped,bundle,org.eclipse.birt.chart.ui.extension,2.3.2.r232_20081218,org.eclipse.birt.chart.ui.extension,1305970524375
stopped,bundle,org.eclipse.birt.chart.ui,2.3.2.r232_20081218,org.eclipse.birt.chart.ui,1305970524375
stopped,bundle,org.eclipse.birt.report.designer.ui.preview.web,2.3.2.r232_20090202,org.eclipse.birt.report.designer.ui.preview.web,1305970524390
stopped,bundle,org.eclipse.birt.report.viewer,2.3.2.r232_20090212,org.eclipse.birt.report.viewer,1305970524390
stopped,bundle,org.eclipse.birt.chart.engine,2.3.2.r232_20090211,org.eclipse.birt.chart.engine,1305970524390
stopped,bundle,org.eclipse.birt.core.script.function,2.3.2.r232_v20090211,org.eclipse.birt.core.script.function,1305970524390
stopped,bundle,org.eclipse.birt.report.designer.ui.editor.script,2.3.2.r232_20090202,org.eclipse.birt.report.designer.ui.editor.script,1305970524390
stopped,bundle,org.eclipse.birt.report.designer.ui.editor.xml.wtp,2.3.2.r232_20090202,org.eclipse.birt.report.designer.ui.editor.xml.wtp,1305970524390
stopped,bundle,org.eclipse.birt.report.designer.ui.lib.explorer,2.3.2.r232_20090202,org.eclipse.birt.report.designer.ui.lib.explorer,1305970524390
stopped,bundle,org.eclipse.birt.report.designer.ui.lib,2.3.2.r232_20090202,org.eclipse.birt.report.designer.ui.lib,1305970524390
stopped,bundle,org.eclipse.birt.report.designer.ui.editors.schematic,2.3.2.r232_20090202,org.eclipse.birt.report.designer.ui.editors.schematic,1305970524390
stopped,bundle,org.eclipse.birt.core.ui,2.3.2.r232_20081009,org.eclipse.birt.core.ui,1305970524390
stopped,bundle,org.eclipse.birt.report.designer.ui.cubebuilder,2.3.2.r232_20090202,org.eclipse.birt.report.designer.ui.cubebuilder,1305970524390
stopped,bundle,org.eclipse.birt.report.designer.ui.samples.ide,2.3.2.r232_20090202,org.eclipse.birt.report.designer.ui.samples.ide,1305970524390
stopped,bundle,org.eclipse.birt.report.designer.ui.editors,2.3.2.r232_20090202,org.eclipse.birt.report.designer.ui.editors,1305970524390
stopped,bundle,org.eclipse.birt.report.designer.ui.samplesview,2.3.2.r232_20090202,org.eclipse.birt.report.designer.ui.samplesview,1305970524390
stopped,bundle,org.eclipse.birt.report.designer.ui.views,2.3.2.r232_20090202,org.eclipse.birt.report.designer.ui.views,1305970524390
stopped,bundle,org.eclipse.birt.report.designer.ui,2.3.2.r232_20090202,org.eclipse.birt.report.designer.ui,1305970524390
stopped,bundle,org.eclipse.birt.report.engine.dataextraction.csv,2.3.2.r232_20090122,org.eclipse.birt.report.engine.dataextraction.csv,1305970524390
stopped,bundle,org.eclipse.birt.report.engine.dataextraction,2.3.2.r232_20090122,org.eclipse.birt.report.engine.dataextraction,1305970524390
stopped,bundle,org.eclipse.birt.report.engine.emitter.html,2.3.2.r232_20090202,org.eclipse.birt.report.engine.emitter.html,1305970524390
